Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
542113,,H1265D43DQ,HDFC FMP 1265D October 2018 (1) - Series 43 - Direct Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB13U3, ,MF
542114,,H1265D43RG,HDFC FMP 1265D October 2018 (1) - Series 43 - Regular Option - Growth Option,Active,F ,10.00,INF179KB14U1, ,MF
542115,,H1265D43RD,HDFC FMP 1265D October 2018 (1) - Series 43 - Regular Option - Normal Dividend Option,Active,F ,10.00,INF179KB15U8, ,MF
542116,,H1265D43RQ,HDFC FMP 1265D October 2018 (1) - Series 43 - Regular Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB16U6, ,MF
542117,,NETRIPPLES,Netripples Software Ltd,Active,X ,10.00,INE478B01018,IT Consulting & Software,Equity
542119,,IPRU3220,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days - Plan M - Cumulative Option,Active,F ,10.00,INF109KC1NI6, ,MF
542120,,IPRU3221,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days - Plan M - Quarterly Dividend Payout,Active,F ,10.00,INF109KC1NJ4, ,MF
542121,,IPRU3222,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days - Plan M - Half Yearly Dividend Payout,Active,F ,10.00,INF109KC1NK2, ,MF
542122,,IPRU9422,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days - Plan M - Direct Plan - Cumulative,Active,F ,10.00,INF109KC1NL0, ,MF
542123,,PHOSPHATE,The Phosphate Company Ltd,Active,XT,10.00,INE398C01016,Fertilizers,Equity
542124,,IPRU3231,ICICI Prudential Fixed Maturity Plan - Series 84 - 1245 days Plan N - Cumulative Option,Active,F ,10.00,INF109KC1NU1, ,MF
542125,,IPRU3232,ICICI Prudential Fixed Maturity Plan - Series 84 - 1245 days Plan N - Quarterly Dividend Payout,Active,F ,10.00,INF109KC1NV9, ,MF
542126,,IPRU9433,ICICI Prudential Fixed Maturity Plan - Series 84 - 1245 days Plan N - Direct Plan - Cumulative Opti,Active,F ,10.00,INF109KC1NX5, ,MF
542127,,IPRU9434,ICICI Prudential Fixed Maturity Plan - Series 84 - 1245 days Plan N - Direct Plan - Quarterly Divide,Active,F ,10.00,INF109KC1NY3, ,MF
542128,,NXXXIX15Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 15 DR GWTH29AP22,Active,F ,10.00,INF204KB1N68, ,MF
542129,,NXXXIX15D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 15 RG DVP29AP22,Active,F ,10.00,INF204KB1N50, ,MF
542130,,NXXXIX15G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 15 RG GWTH29AP22,Active,F ,10.00,INF204KB1N43, ,MF
